"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2015- 05- 29","33,700","34,400","34,400","33,300","544.39K","-0.74%"
"2015- 05- 28","33,950","32,300","35,000","31,900","1.39M","5.76%"
"2015- 05- 27","32,100","31,400","32,150","30,700","406.46K","2.72%"
"2015- 05- 26","31,250","32,550","32,650","31,150","511.43K","-4.43%"
"2015- 05- 22","32,700","34,450","34,600","32,600","551.38K","-4.94%"
"2015- 05- 21","34,400","34,500","34,600","33,500","397.23K","0.29%"
"2015- 05- 20","34,300","34,200","34,350","33,650","557.50K","0.29%"
"2015- 05- 19","34,200","33,150","34,800","32,550","1.43M","3.64%"
"2015- 05- 18","33,000","31,750","33,000","31,350","685.75K","5.26%"
"2015- 05- 15","31,350","31,100","31,550","30,550","327.21K","1.46%"
"2015- 05- 14","30,900","31,100","31,400","30,850","162.82K","-0.16%"
"2015- 05- 13","30,950","31,350","31,450","30,750","178.57K","-0.32%"
"2015- 05- 12","31,050","30,950","31,750","30,950","223.81K","-0.32%"
"2015- 05- 11","31,150","31,000","31,950","30,900","408.45K","0.48%"
"2015- 05- 08","31,000","30,700","31,400","30,300","271.13K","0.98%"
"2015- 05- 07","30,700","30,650","30,900","30,350","141.09K","-0.16%"
"2015- 05- 06","30,750","31,350","31,650","30,550","223.66K","-2.38%"
"2015- 05- 04","31,500","31,900","31,900","31,150","194.30K","0.16%"
"2015- 04- 30","31,450","30,950","32,150","30,800","394.14K","2.28%"
"2015- 04- 29","30,750","30,950","31,200","30,600","270.18K","-0.65%"
"2015- 04- 28","30,950","31,000","31,500","30,800","387.62K","0.00%"
"2015- 04- 27","30,950","30,500","31,400","30,500","464.00K","1.48%"
"2015- 04- 24","30,500","31,300","31,500","30,200","733.22K","-2.24%"
"2015- 04- 23","31,200","32,050","32,850","31,050","1.28M","-5.17%"
"2015- 04- 22","32,900","33,750","33,950","31,900","444.93K","-1.05%"
"2015- 04- 21","33,250","33,050","33,500","32,800","316.04K","1.53%"
"2015- 04- 20","32,750","33,350","33,500","32,550","470.53K","-2.53%"
"2015- 04- 17","33,600","34,350","34,600","33,400","534.81K","-1.90%"
"2015- 04- 16","34,250","35,000","35,000","34,100","255.44K","-1.72%"
"2015- 04- 15","34,850","34,600","35,300","34,450","554.06K","1.75%"
"2015- 04- 14","34,250","34,100","34,800","33,850","403.82K","0.15%"
"2015- 04- 13","34,200","34,600","34,900","34,100","264.71K","-0.87%"
"2015- 04- 10","34,500","34,650","35,450","34,450","366.76K","0.29%"
