"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 04- 01","71,100","68,400","72,400","67,800","658.78K","3.95%"
"2022- 03- 31","68,400","68,200","69,200","67,900","0.01K","-0.29%"
"2022- 03- 30","68,600","67,100","70,200","67,000","0.03K","2.69%"
"2022- 03- 29","66,800","67,400","67,500","66,400","204.35K","-0.30%"
"2022- 03- 28","67,000","69,100","69,400","66,500","276.09K","-2.76%"
"2022- 03- 27","68,900","68,900","68,900","68,900","","0.00%"
"2022- 03- 25","68,900","69,300","69,300","67,500","184.69K","-0.29%"
"2022- 03- 24","69,100","68,100","69,800","67,800","244.39K","1.17%"
"2022- 03- 23","68,300","69,300","69,300","67,900","218.82K","-1.59%"
"2022- 03- 22","69,400","66,000","70,100","66,000","585.21K","5.47%"
"2022- 03- 21","65,800","67,000","67,300","65,200","0.07K","-0.75%"
"2022- 03- 18","66,300","65,900","66,400","65,100","168.10K","0.61%"
"2022- 03- 17","65,900","66,700","67,100","65,000","0.01K","-1.20%"
"2022- 03- 16","66,700","68,300","68,300","64,600","0.02K","-1.04%"
"2022- 03- 15","67,400","67,300","68,700","66,000","0.10K","0.30%"
"2022- 03- 14","67,200","68,100","69,000","66,600","0.03K","-1.61%"
"2022- 03- 13","68,300","68,300","68,300","68,300","","0.00%"
"2022- 03- 11","68,300","66,800","68,900","66,600","350.63K","1.94%"
"2022- 03- 10","67,000","64,900","67,400","64,100","0.25K","5.02%"
"2022- 03- 09","63,800","63,800","63,800","63,800","","0.00%"
"2022- 03- 08","63,800","65,000","65,500","62,600","336.93K","-2.74%"
"2022- 03- 07","65,600","64,500","66,300","64,300","0.02K","0.15%"
"2022- 03- 06","65,500","65,500","65,500","65,500","","0.00%"
"2022- 03- 04","65,500","64,400","65,700","63,800","283.23K","1.24%"
"2022- 03- 03","64,700","66,500","66,800","64,000","0.08K","-2.27%"
"2022- 03- 02","66,200","65,900","66,800","64,200","287.86K","0.76%"
"2022- 03- 01","65,700","65,700","65,700","65,700","","0.00%"
"2022- 02- 28","65,700","64,100","66,000","64,000","388.44K","1.39%"
"2022- 02- 27","64,800","64,800","64,800","64,800","","0.00%"
"2022- 02- 25","64,800","62,600","64,800","61,500","651.05K","6.40%"
"2022- 02- 24","60,900","63,200","64,400","59,700","0.19K","-1.62%"
"2022- 02- 23","61,900","61,800","62,700","60,400","0.79K","0.16%"
"2022- 02- 22","61,800","60,500","62,700","60,300","0.04K","0.65%"
"2022- 02- 21","61,400","56,700","61,400","56,300","0.05K","6.97%"
"2022- 02- 20","57,400","57,400","57,400","57,400","","0.00%"
